Ident	Api	free	title	author	digital	available	isbn	barcode	year	branch	home_branch	category	publisher	keyword	system	audience	location	order	database
Burglengenfeld	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
KgswOberpleis	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
OstheimRhoen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Mettmann	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Hoesbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Neubiberg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Bad_Salzuflen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Kriftel	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Denklingen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Roethenbach_Pegnitz	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Muenster_Hiltrup	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Geldern	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Westerstede	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Nettersheim	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Berchtesgaden	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Oberstaufen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Hattingen	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Wickede	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Karlsfeld	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Wehr	bibliotheca	true	true	true	false	false	true	false	true	false	false	true	false	true	true	true	false	true	false
Niestetal	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Stadtallendorf	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
MarktSchwaben	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
BadWildungen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Marienfeld_Koeb	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Naila	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Pluederhausen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Koenigsbrunn	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Heidelberg	bibliotheca	true	true	true	false	false	true	false	true	true	false	true	false	true	true	true	false	true	false
Niebuell	iopac	true	true	true	false	false	false	false	true	false	false	true	true	false	true	false	false	false	false
Harsewinkel	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Mering	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Grossburgwedel	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Tapfheim	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Offenbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Recklinghausen	bibliotheca	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Thannhausen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Miesbach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Gescher	bibliotheca	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false
Belin_BSH	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
BadVilbel	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Marl	bibliotheca	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
Schondorf	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Erftstadt	sisis	true	true	true	false	false	false	false	true	true	true	true	false	true	true	false	false	false	false
Teublitz	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Landsberg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Maisach	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Herborn	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Bechhofen	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Wendelstein	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Schwaig	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
Olsberg	winbiap	true	true	true	false	false	true	true	true	true	false	true	true	true	true	true	false	false	false
